date,channel,revenue_usd
2026-01-06,Direct,480.77
2026-01-06,Email,192.6
2026-01-06,Other,442.35
2026-01-06,Paid Search,142.62
2026-01-06,Paid Social,1057.16
2026-01-07,Email,696.67
2026-01-07,Other,159.51
2026-01-07,Paid Search,96.06
2026-01-07,Paid Social,1632.18
2026-01-08,Direct,152.03
2026-01-08,Email,180.59
2026-01-08,Other,655.4
2026-01-08,Paid Search,426.05
2026-01-08,Paid Social,846.85
2026-01-09,Direct,354.66
2026-01-09,Email,69.73
2026-01-09,Other,467.45
2026-01-09,Paid Social,1152.17
2026-01-10,Direct,668.67
2026-01-10,Email,329.55
2026-01-10,Other,513.52
2026-01-10,Paid Search,85.84
2026-01-10,Paid Social,1210.31
2026-01-11,Direct,183.3
2026-01-11,Email,266.44
2026-01-11,Other,1549.6
2026-01-11,Paid Search,181
2026-01-11,Paid Social,1002.53
2026-01-12,Direct,253.73
2026-01-12,Email,788.69
2026-01-12,Other,267.81
2026-01-12,Paid Search,529.53
2026-01-12,Paid Social,988.28
2026-01-13,Direct,342.35
2026-01-13,Email,320.49
2026-01-13,Other,659.41
2026-01-13,Paid Search,663.14
2026-01-13,Paid Social,1067.9
2026-01-14,Direct,844.76
2026-01-14,Email,634.41
2026-01-14,Other,810.2
2026-01-14,Paid Search,686.65
2026-01-14,Paid Social,153.23
2026-01-15,Direct,152.19
2026-01-15,Email,260.05
2026-01-15,Other,419.33
2026-01-15,Paid Search,526.75
2026-01-15,Paid Social,208.93
2026-01-16,Direct,617.22
2026-01-16,Email,127.09
2026-01-16,Other,597.93
2026-01-16,Paid Search,210.9
2026-01-16,Paid Social,1087.44
2026-01-17,Email,361.13
2026-01-17,Other,886.28
2026-01-17,Paid Search,117.89
2026-01-17,Paid Social,1311.76
2026-01-18,Direct,210.5
2026-01-18,Email,184.47
2026-01-18,Other,857.6
2026-01-18,Paid Search,93.6
2026-01-18,Paid Social,1132.35
2026-01-19,Direct,180.11
2026-01-19,Email,201.99
2026-01-19,Other,944.03
2026-01-19,Paid Search,256.16
2026-01-19,Paid Social,1273.28
2026-01-20,Direct,244.46
2026-01-20,Email,649.33
2026-01-20,Other,785.87
2026-01-20,Paid Search,464.71
2026-01-20,Paid Social,873.15
2026-01-21,Direct,119.46
2026-01-21,Other,857.6
2026-01-21,Paid Search,155.02
2026-01-21,Paid Social,1396.38
2026-01-22,Direct,790.58
2026-01-22,Email,286.56
2026-01-22,Other,890.07
2026-01-22,Paid Search,259.09
2026-01-22,Paid Social,1056.21
2026-01-23,Direct,612.39
2026-01-23,Email,446.36
2026-01-23,Other,95.95
2026-01-23,Paid Search,277.69
2026-01-23,Paid Social,1317.94
2026-01-24,Direct,114.82
2026-01-24,Email,99.58
2026-01-24,Other,890.47
2026-01-24,Paid Search,521.54
2026-01-24,Paid Social,601.41
2026-01-25,Email,275.73
2026-01-25,Other,403.13
2026-01-25,Paid Search,473.24
2026-01-25,Paid Social,1269.68
2026-01-26,Direct,108.93
2026-01-26,Email,389.89
2026-01-26,Other,592.73
2026-01-26,Paid Search,23.23
2026-01-26,Paid Social,837.91
2026-01-27,Direct,118.47
2026-01-27,Email,529.44
2026-01-27,Other,933.37
2026-01-27,Paid Search,347.3
2026-01-27,Paid Social,1214.89
2026-01-28,Direct,463.74
2026-01-28,Email,750.59
2026-01-28,Other,296.06
2026-01-28,Paid Search,382.6
2026-01-28,Paid Social,858.05
2026-01-29,Direct,217.88
2026-01-29,Email,241.44
2026-01-29,Other,114.63
2026-01-29,Paid Search,88.54
2026-01-29,Paid Social,932.48
2026-01-30,Direct,401.04
2026-01-30,Email,171.18
2026-01-30,Other,726.35
2026-01-30,Paid Search,104.06
2026-01-30,Paid Social,717.49
2026-01-31,Direct,359.75
2026-01-31,Email,711.53
2026-01-31,Other,270.89
2026-01-31,Paid Search,303.89
2026-01-31,Paid Social,1187.86
2026-02-01,Direct,95.69
2026-02-01,Email,97.58
2026-02-01,Other,429.25
2026-02-01,Paid Search,718.32
2026-02-01,Paid Social,1548.84
2026-02-02,Direct,306.94
2026-02-02,Email,481.04
2026-02-02,Other,1260.87
2026-02-02,Paid Search,425.47
2026-02-02,Paid Social,866.65
2026-02-03,Direct,340.26
2026-02-03,Email,52.03
2026-02-03,Other,266.98
2026-02-03,Paid Search,534.98
2026-02-03,Paid Social,819.47
2026-02-04,Direct,199.87
2026-02-04,Email,102.87
2026-02-04,Other,444.14
2026-02-04,Paid Search,239.93
2026-02-04,Paid Social,1022.43
