order_id,created_at,channel,gross,refund,currency,status,is_test_order
E76-1010,2026-01-06T14:07:00Z,(direct),131.33,65.67,USD,paid,false
E76-1005,2026-01-06T14:32:00Z,"Facebook Ads",124.63,0.00,USD,paid,false
E76-1023,2026-01-06T14:32:00Z,fb,112.90,0.00,USD,paid,false
E76-1006,2026-01-06T14:40:00Z,affiliate,90.90,0.00,CAD,paid,false
E76-1007,2026-01-06T15:34:00Z,(direct),184.77,0.00,USD,paid,false
E76-1009,2026-01-06T15:56:00Z,"Facebook Ads",120.36,0.00,USD,cancelled,false
E76-1012,2026-01-06T16:01:00Z,facebook,55.52,0.00,USD,paid,false
E76-1018,2026-01-06T16:03:00Z,affiliate,178.99,0.00,USD,paid,false
E76-1019,2026-01-06T16:22:00Z,tiktok,52.39,0.00,USD,paid,false
E76-1017,2026-01-06T17:01:00Z,fb,73.87,0.00,CAD,paid,false
E76-1022,2026-01-06T17:12:00Z,tiktok,65.56,0.00,USD,paid,false
E76-1015,2026-01-06T17:23:00Z,email,179.03,0.00,CAD,paid,false
E76-1001,2026-01-06T17:35:00Z,tiktok,105.60,0.00,CAD,paid,false
E76-1014,2026-01-06T18:32:00Z,(direct),203.96,0.00,USD,paid,false
E76-1002,2026-01-06T19:05:00Z,"Facebook Ads",80.85,0.00,CAD,paid,false
E76-1016,2026-01-06T19:09:00Z,fb,187.03,0.00,USD,paid,false
E76-1008,2026-01-06T20:17:00Z,google,142.62,0.00,USD,paid,false
E76-1020,2026-01-06T20:45:00Z,(direct),26.38,0.00,USD,paid,false
E76-1003,2026-01-06T20:51:00Z,facebook,152.02,0.00,USD,paid,false
E76-1000,2026-01-06T21:48:00Z,email,60.12,0.00,USD,paid,false
E76-1011,2026-01-06T22:41:00Z,affiliate,101.45,0.00,USD,paid,true
E76-1021,2026-01-06T23:32:00Z,facebook,120.88,0.00,USD,paid,false
E76-1004,2026-01-06T23:34:00Z,"Facebook Ads",25.75,25.75,USD,paid,false
E76-1013,2026-01-06T23:43:00Z,"Facebook Ads",189.69,0.00,USD,paid,false
E76-1036,2026-01-07T14:28:00Z,email,187.91,0.00,USD,paid,false
E76-1024,2026-01-07T14:34:00Z,facebook,159.09,0.00,USD,paid,false
E76-1025,2026-01-07T14:51:00Z,affiliate,30.56,0.00,USD,paid,false
E76-1029,2026-01-07T14:53:00Z,email,153.64,0.00,USD,paid,false
E76-1038,2026-01-07T16:03:00Z,facebook,106.14,0.00,USD,paid,false
E76-1041,2026-01-07T16:24:00Z,email,65.36,0.00,USD,paid,false
E76-1043,2026-01-07T16:32:00Z,"Facebook Ads",53.61,0.00,CAD,paid,false
E76-1026,2026-01-07T17:16:00Z,fb,115.75,0.00,USD,paid,false
